Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Contributions of artificial intelligence for circular economy transition leading toward sustainability: an explorative study in agriculture and food industries of Pakistan","Environment, Development and Sustainability","","","","10.1007/s10668-023-03458-9","Zain Anwar AliMahreen ZainM. Salman PathanPeter Mooney","2023","http://link.springer.com/article/10.1007/s10668-023-03458-9","Article"
"Abstracts from the 2023 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","38","2","10.1007/s11606-023-08226-z","","2023","http://link.springer.com/article/10.1007/s11606-023-08226-z","Article"
"Role of Regulatory Sandboxes and MLOps for AI-Enabled Public Sector Services","The Review of Socionetwork Strategies","","17","2","10.1007/s12626-023-00146-y","Ana Paula Gonzalez TorresNitin Sawhney","2023","http://link.springer.com/article/10.1007/s12626-023-00146-y","Article"
"Design and Implementation of an Automated Classroom Analytics System: Stakeholder Engagement and Mapping","TechTrends","","67","6","10.1007/s11528-023-00905-2","Evrim BaranDana AlZoubiAnasilvia Salazar Morales","2023","http://link.springer.com/article/10.1007/s11528-023-00905-2","Article"
"Convergence of Public Participation, Participatory Design and NLP to Co-Develop Circular Economy","Circular Economy and Sustainability","","1","3","10.1007/s43615-021-00079-0","Mark DyerShaoqun WuMin-Hsien Weng","2021","http://link.springer.com/article/10.1007/s43615-021-00079-0","Article"
"CSR marketing through social media and contextual effects on stakeholder engagement: a multinational cross-industry analysis","Information Systems Frontiers","","","","10.1007/s10796-022-10273-6","Arash Khalili NasrMona RashidiradVignesh YoganathanAshkan Salehi Sadaghiani","2022","http://link.springer.com/article/10.1007/s10796-022-10273-6","Article"
"Artificial Intelligence and Sensor Innovations: Enhancing Livestock Welfare with a Human-Centric Approach","Human-Centric Intelligent Systems","","","","10.1007/s44230-023-00050-2","Suresh Neethirajan","2023","http://link.springer.com/article/10.1007/s44230-023-00050-2","Article"
"The Brazilian (Non)perspective on national strategy for artificial intelligence","Discover Artificial Intelligence","","3","1","10.1007/s44163-023-00052-w","Fernando FilgueirasTainá Aguiar Junquilho","2023","http://link.springer.com/article/10.1007/s44163-023-00052-w","Article"
"Designing Multi-Modal Conversational Agents for the Kitchen with Older Adults: A Participatory Design Study","International Journal of Social Robotics","","15","9 - 10","10.1007/s12369-023-01055-4","Sanna KuoppamäkiRazan JaberibraheemMikaela HellstrandDonald McMillan","2023","http://link.springer.com/article/10.1007/s12369-023-01055-4","Article"
"Early warning model of adolescent mental health based on big data and machine learning","Soft Computing","","","","10.1007/s00500-023-09422-z","Ziyi Zhang","2023","http://link.springer.com/article/10.1007/s00500-023-09422-z","Article"
