Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Role of Usability Engineering in the Development of an Intelligent Decision Support System","Artificial Intelligence in Health","","","","10.1007/978-3-030-12738-1_11","Clare MartinArantza AldeaDavid DuceRachel HarrisonBedour Alshaigy","2019","http://link.springer.com/chapter/10.1007/978-3-030-12738-1_11","Chapter"
"User Interface Prototyping Toolkit (UIPT)","Design, User Experience, and Usability. Design Philosophy and Theory","","","","10.1007/978-3-030-23570-3_15","Bryan L. CroftJeffrey D. ClarksonEric VonColln","2019","http://link.springer.com/chapter/10.1007/978-3-030-23570-3_15","Chapter"
"An Information and Power Simultaneous Transfer Strategy in UAV and Wireless Rechargeable Sensor Networks","Machine Learning for Cyber Security","","","","10.1007/978-3-030-62460-6_7","Zhi LiJifeng FengJian LiXu Gou","2020","http://link.springer.com/chapter/10.1007/978-3-030-62460-6_7","Chapter"
"User Evaluation of Industry 4.0 Concepts for Worker Engagement","Human Systems Engineering and Design","","","","10.1007/978-3-030-02053-8_6","Susanna AromaaMarja LiinasuoEija KaasinenMichael BojkoFranziska SchmalfußKonstantinos C. ApostolakisDimitrios ZarpalasPetros DarasCemalettin ÖzturkMenouer Boubekeuer","2019","http://link.springer.com/chapter/10.1007/978-3-030-02053-8_6","Chapter"
"A Participatory Privacy Protection Framework for Smart-Phone Application Default Settings","Security in Computing and Communications","","","","10.1007/978-981-13-5826-5_13","Haroon ElahiGuojun Wang","2019","http://link.springer.com/chapter/10.1007/978-981-13-5826-5_13","Chapter"
"Adapting COBIT for Quantum Computing Governance","Quality of Information and Communications Technology","","","","10.1007/978-3-030-58793-2_22","Miguel Ángel BlancoMario Piattini","2020","http://link.springer.com/chapter/10.1007/978-3-030-58793-2_22","Chapter"
"Complexity Management in Production Systems: Approach for Supporting Problem Solving Through Holistic Structural Consideration","Advances in Production Management Systems. Production Management for the Factory of the Future","","","","10.1007/978-3-030-30000-5_52","Samuel HorlerRalph RiedelEgon Müller","2019","http://link.springer.com/chapter/10.1007/978-3-030-30000-5_52","Chapter"
"Autonomous Mobile Robots in Hospital Logistics","Advances in Production Management Systems. The Path to Digital Transformation and Innovation of Production Management Systems","","","","10.1007/978-3-030-57993-7_76","Giuseppe FragapaneHans-Henrik HvolbyFabio SgarbossaJan Ola Strandhagen","2020","http://link.springer.com/chapter/10.1007/978-3-030-57993-7_76","Chapter"
"Study on the Application of Digital Twin Technology in Complex Electronic Equipment","Proceedings of the Seventh Asia International Symposium on Mechatronics","","","","10.1007/978-981-32-9437-0_21","Changming HuWei GaoChanghong XuKecun Ben","2020","http://link.springer.com/chapter/10.1007/978-981-32-9437-0_21","Chapter"
"Developing a Conceptual Framework for Smart Teaching: Using VR to Teach Kids How to Save Lives","Smart Education and e-Learning 2020","","","","10.1007/978-981-15-5584-8_14","Tone Lise DahlSiw Olsen FjørtoftAndreas D. Landmark","2020","http://link.springer.com/chapter/10.1007/978-981-15-5584-8_14","Chapter"
"Employing Interdisciplinary Approaches in Designing with Fragile Older Adults; Advancing ABLE for Arts-Based Rehabilitative Play and Complex Learning","Human Aspects of IT for the Aged Population. Design for the Elderly and Technology Acceptance","","","","10.1007/978-3-030-22012-9_1","Paula GardnerCaitlin McArthurAdekunle AkinyemiStephen SurlinRong ZhengAlexandra PapaioannouYujiao HaoJason Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-22012-9_1","Chapter"
"Implementation of Machining on the Cloud: A Case Study in PLM Environment","Product Lifecycle Management for Digital Transformation of Industries","","","","10.1007/978-3-319-54660-5_31","Saurav BhattFrédéric SegondsNicolas MaranzanaAméziane AoussatVincent FrerebeauDamien Chasset","2016","http://link.springer.com/chapter/10.1007/978-3-319-54660-5_31","Chapter"
"“DIY” Prototyping of Teaching Materials for Visually Impaired Children: Usage and Satisfaction of Professionals","Universal Access in Human–Computer Interaction. Design and Development Approaches and Methods","","","","10.1007/978-3-319-58706-6_42","Stéphanie GiraudPhilippe TruilletVéronique GaildratChristophe Jouffrais","2017","http://link.springer.com/chapter/10.1007/978-3-319-58706-6_42","Chapter"
"Toward Sentiment Analysis in Elderly Care Facility","New Frontiers in Artificial Intelligence","","","","10.1007/978-3-319-61572-1_10","Ken FukudaSatoshi NishimuraHuizhi LiangTakuichi Nishimura","2017","http://link.springer.com/chapter/10.1007/978-3-319-61572-1_10","Chapter"
"A Volunteer Design Methodology of Data Warehouses","Conceptual Modeling","","","","10.1007/978-3-030-00847-5_21","Amir SakkaSandro BimonteLucile SautotGuy CamilleriPascale ZaratéAurelien Besnard","2018","http://link.springer.com/chapter/10.1007/978-3-030-00847-5_21","Chapter"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms","Artificial Intelligence in Education","","","","10.1007/978-3-030-23204-7_14","Kenneth HolsteinBruce M. McLarenVincent Aleven","2019","http://link.springer.com/chapter/10.1007/978-3-030-23204-7_14","Chapter"
"Towards Automatic Generation of Storyline Aided by Collaborative Creative Design","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-030-60816-3_6","Iwona Grabska-GradzińskaEwa GrabskaLeszek NowakWojciech Palacz","2020","http://link.springer.com/chapter/10.1007/978-3-030-60816-3_6","Chapter"
"Towards the Next Generation of Scenario Walkthrough Tools – A Research Preview","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-030-15538-4_21","Norbert SeyffMichael VierhauserMichael SchneiderJane Cleland-Huang","2019","http://link.springer.com/chapter/10.1007/978-3-030-15538-4_21","Chapter"
"Interaction Design of Autonomous Vehicle Based on Human Mobility","Design, User Experience, and Usability: Users, Contexts and Case Studies","","","","10.1007/978-3-319-91806-8_28","Jingyan QinZeyu HaoShujing Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-319-91806-8_28","Chapter"
"CS and IS Alumni Post-Graduate Course and Supervision Perceptions","ICT Education","","","","10.1007/978-3-319-47680-3_11","André P. CalitzJean GreylingArthur Glaum","2016","http://link.springer.com/chapter/10.1007/978-3-319-47680-3_11","Chapter"
"Investigating Emerging Technologies Role in Smart Cities’ Solutions","Re-imagining Diffusion and Adoption of Information Technology and Systems: A Continuing Conversation","","","","10.1007/978-3-030-64861-9_21","Ali Al-BadiSujeet Kumar SharmaVishal JainAsharul Islam Khan","2020","http://link.springer.com/chapter/10.1007/978-3-030-64861-9_21","Chapter"
"Development of Skills and Competences in Manufacturing Towards Education 4.0: A Teaching Factory Approach","Proceedings of 3rd International Conference on the Industry 4.0 Model for Advanced Manufacturing","","","","10.1007/978-3-319-89563-5_15","Dimitris Mourtzis","2018","http://link.springer.com/chapter/10.1007/978-3-319-89563-5_15","Chapter"
"An e-Government Implementation Framework: A Developing Country Case Study","Responsible Design, Implementation and Use of Information and Communication Technology","","","","10.1007/978-3-030-45002-1_2","Anele ApleniHanlie Smuts","2020","http://link.springer.com/chapter/10.1007/978-3-030-45002-1_2","Chapter"
"Yayy! You Have a New Notification: Co-designing Multi-device Locative Media Experiences with Young People","Human-Computer Interaction. Design and User Experience","","","","10.1007/978-3-030-49059-1_16","Dan FittonKeith CheverstJanet C. Read","2020","http://link.springer.com/chapter/10.1007/978-3-030-49059-1_16","Chapter"
"Co-creating an Online TimeBank for Inclusive Research","Computers Helping People with Special Needs","","","","10.1007/978-3-319-41264-1_10","Sarah ParsonsAndrew PowerMelanie NindKen MeachamClare HooperAnne CollisMal CansdaleAlan Armstrong","2016","http://link.springer.com/chapter/10.1007/978-3-319-41264-1_10","Chapter"
"A Framework for the Adoption of Blockchain-Based e-Procurement Systems in the Public Sector","Responsible Design, Implementation and Use of Information and Communication Technology","","","","10.1007/978-3-030-44999-5_1","Temofe Isaac AkabaAlex NortaChibuzor UdokwuDirk Draheim","2020","http://link.springer.com/chapter/10.1007/978-3-030-44999-5_1","Chapter"
"Reflective Interaction Capabilities by Use of Ambient Manuals for an Ambient Light-Control","HCI International 2016 – Posters' Extended Abstracts","","","","10.1007/978-3-319-40542-1_66","Daniel BurmeisterAndreas SchraderBashar Altakrouri","2016","http://link.springer.com/chapter/10.1007/978-3-319-40542-1_66","Chapter"
"“We Are Actively Reaching Out to Different Organizations and Folks to Come in”: Collective Design of the Vancouver Tool Library Project","Cross-Cultural Design. Culture and Society","","","","10.1007/978-3-030-22580-3_17","Xiaolan WangRon Wakkary","2019","http://link.springer.com/chapter/10.1007/978-3-030-22580-3_17","Chapter"
"Behavioral Archetypes for Stroke  Rehabilitation Technologies","HCI International 2018 – Posters' Extended Abstracts","","","","10.1007/978-3-319-92279-9_2","Bushra AlkadhiAreej Al-Wabil","2018","http://link.springer.com/chapter/10.1007/978-3-319-92279-9_2","Chapter"
"Research Methods – What Is Best for Developing and Evaluating Human Computer Interaction and Interactive Artistic Installations?","Human Work Interaction Design. Designing Engaging Automation","","","","10.1007/978-3-030-05297-3_16","Arminda Guerra Lopes","2019","http://link.springer.com/chapter/10.1007/978-3-030-05297-3_16","Chapter"
"What Children Really Contribute When Participating in the Design of Web-Based Learning Applications","Advances in Web-Based Learning – ICWL 2017","","","","10.1007/978-3-319-66733-1_20","Helene Gelderblom","2017","http://link.springer.com/chapter/10.1007/978-3-319-66733-1_20","Chapter"
"First Steps Towards the Design of Tangibles for Graph Algorithmic Thinking","Methodologies and Intelligent Systems for Technology Enhanced Learning","","","","10.1007/978-3-319-60819-8_13","Andrea BonaniVincenzo Del FattoGabriella DoderoRosella GennariGuerriero Raimato","2017","http://link.springer.com/chapter/10.1007/978-3-319-60819-8_13","Chapter"
"Interoperability and Convergence for Welfare Technology","Human Aspects of IT for the Aged Population. Applications in Health, Assistance, and Entertainment","","","","10.1007/978-3-319-92037-5_2","Michela Cozza","2018","http://link.springer.com/chapter/10.1007/978-3-319-92037-5_2","Chapter"
"Design Empowerment for Older Adults","Human Aspects of IT for the Aged Population. Acceptance, Communication and Participation","","","","10.1007/978-3-319-92034-4_35","Yumei DongHua Dong","2018","http://link.springer.com/chapter/10.1007/978-3-319-92034-4_35","Chapter"
"Designing for Sustainable Urban Mobility Behaviour: A Systematic Review of the Literature","Citizen, Territory and Technologies: Smart Learning Contexts and Practices","","","","10.1007/978-3-319-61322-2_14","Lisa KlechaFrancesco Gianni","2018","http://link.springer.com/chapter/10.1007/978-3-319-61322-2_14","Chapter"
"Food Incident Interactive Training Tool: A Serious Game for Food Incident Management","Advances in Social Simulation 2015","","","","10.1007/978-3-319-47253-9_3","Paolo CampoElizabeth YorkAmy WoodwardPaul KrauseAngela Druckman","2017","http://link.springer.com/chapter/10.1007/978-3-319-47253-9_3","Chapter"
"Sugar Ka Saathi – A Case Study Designing Digital Self-management Tools for People Living with Diabetes in Pakistan","Human-Computer Interaction – INTERACT 2019","","","","10.1007/978-3-030-29387-1_10","Kehkashan ZebStephen LindsaySuleman ShahidWaleed RiazMatt Jones","2019","http://link.springer.com/chapter/10.1007/978-3-030-29387-1_10","Chapter"
"Gathering and Applying Guidelines for Mobile Robot Design for Urban Search and Rescue Application","Human-Computer Interaction. Interaction Contexts","","","","10.1007/978-3-319-58077-7_45","Ekaterina R. StepanovaMarkus von der HeydeAlexandra KitsonThecla SchiphorstBernhard E. Riecke","2017","http://link.springer.com/chapter/10.1007/978-3-319-58077-7_45","Chapter"
"Urban Innovation Through Co-design Scenarios","The Interplay of Data, Technology, Place and People for Smart Learning","","","","10.1007/978-3-319-92022-1_10","Enza LissandrelloNicola MorelliDomenico SchillaciSalvatore Di Dio","2019","http://link.springer.com/chapter/10.1007/978-3-319-92022-1_10","Chapter"
"Applying Gamification for Developing Formal Knowledge Models: Challenges and Requirements","Advances in Production Management Systems. Initiatives for a Sustainable World","","","","10.1007/978-3-319-51133-7_84","Jannicke Baalsrud HaugeStefan WiesnerIoana A. StefanAntoniu StefanKlaus-Dieter Thoben","2016","http://link.springer.com/chapter/10.1007/978-3-319-51133-7_84","Chapter"
"What Technology for Autism Needs to be Invented? Idea Generation from the Autism Community via the ASCmeI.T. App","Computers Helping People with Special Needs","","","","10.1007/978-3-319-41267-2_49","Sarah ParsonsNicola YuillJudith GoodMark BrosnanLisa AustinClarence SingletonBenoît BossavitBarnabear","2016","http://link.springer.com/chapter/10.1007/978-3-319-41267-2_49","Chapter"
"Scoping the Window to the Universe; Design Considerations and Expert Evaluation of an Augmented Reality Mobile Application for Astronomy Education","Interactive Mobile Communication Technologies and Learning","","","","10.1007/978-3-319-75175-7_41","Panagiotis E. AntoniouMaria MpakaIoanna DratsiouKaterina AggeioplastiMelpomeni TsitouridouPanagiotis D. Bamidis","2018","http://link.springer.com/chapter/10.1007/978-3-319-75175-7_41","Chapter"
"Integrated Service E-Marketplace for Independent and Assisted Living – Business and Software Engineering Challenges","Business Modeling and Software Design","","","","10.1007/978-3-319-57222-2_11","Leszek MaciaszekWieslawa GryncewiczRobert Kutera","2017","http://link.springer.com/chapter/10.1007/978-3-319-57222-2_11","Chapter"
"A Study of Using Collaborative Briefing Approach to Empower the Briefing Process for Large Scale Infrastructure Projects","Proceedings of the 20th International Symposium on Advancement of Construction Management and Real Estate","","","","10.1007/978-981-10-0855-9_26","Jacky K. H. ChungStephen S. Y. LauCynthia H. Y. Hou","2017","http://link.springer.com/chapter/10.1007/978-981-10-0855-9_26","Chapter"
"Towards Super User-Centred Continuous Delivery: A Case Study","Human-Centered Software Engineering","","","","10.1007/978-3-030-64266-2_9","Joakim KlemetsTore Christian Bjørsvik Storholmen","2020","http://link.springer.com/chapter/10.1007/978-3-030-64266-2_9","Chapter"
"Tablet-Based Information System for Commercial Aircraft: Onboard Context-Sensitive Information System (OCSIS)","Engineering Psychology and Cognitive Ergonomics","","","","10.1007/978-3-319-91122-9_55","Wei TanGuy A. Boy","2018","http://link.springer.com/chapter/10.1007/978-3-319-91122-9_55","Chapter"
"Decision Support System in Product Engineering","Research in Interactive Design (Vol. 4)","","","","10.1007/978-3-319-26121-8_13","César OteroPierpaolo Valentini","2016","http://link.springer.com/chapter/10.1007/978-3-319-26121-8_13","Chapter"
"Social Inclusion for Children with Disabilities: The Role of ICT in Play and Entertainment Activities","Body Area Networks:  Smart IoT and Big Data for Intelligent Health Management","","","","10.1007/978-3-030-34833-5_22","Paolo LucattiniSara JayousiAlessio MartinelliLorenzo MucchiGrazia Lombardi","2019","http://link.springer.com/chapter/10.1007/978-3-030-34833-5_22","Chapter"
"Enhancing Reality: Adaptation Strategies for AR in the Field","Augmented Cognition. Human Cognition and Behavior","","","","10.1007/978-3-030-50439-7_21","Konrad BieleckiDaniel López HernándezMarten BlochMarcel BaltzerRobin SchmidtJoscha WasserFrank Flemisch","2020","http://link.springer.com/chapter/10.1007/978-3-030-50439-7_21","Chapter"
"Designing for Aging People","Human-Computer Interaction – INTERACT 2019","","","","10.1007/978-3-030-29390-1_69","Masood MasoodianPaula Alexandra Silva","2019","http://link.springer.com/chapter/10.1007/978-3-030-29390-1_69","Chapter"
"Organizational Challenges of Digitalization Initiatives in Tourism Network Management Organizations","Business Information Systems Workshops","","","","10.1007/978-3-030-36691-9_14","Susanne Marx","2019","http://link.springer.com/chapter/10.1007/978-3-030-36691-9_14","Chapter"
"Enhancing Collaborative Creativity: Towards a New User-Centered Design Method, the Dynamic Persona Method","Proceedings of the 20th Congress of the International Ergonomics Association (IEA 2018)","","","","10.1007/978-3-319-96071-5_62","Nicolas PichotNathalie Bonnardel","2019","http://link.springer.com/chapter/10.1007/978-3-319-96071-5_62","Chapter"
"Towards an Approach to Link Knowledge and Prediction in Product Design","Product Lifecycle Management in the Era of Internet of Things","","","","10.1007/978-3-319-33111-9_23","Bertrand MarconnetFrédéric DemolyDavy MonticoloSamuel Gomes","2016","http://link.springer.com/chapter/10.1007/978-3-319-33111-9_23","Chapter"
"System Architecture for Personalized Automatic Audio-Visual Content Generation from Web Feeds to an iTV Platform","Applications and Usability of Interactive TV","","","","10.1007/978-3-319-63321-3_1","Carlos SilvaDavid CampeloTelmo SilvaValter Silva","2017","http://link.springer.com/chapter/10.1007/978-3-319-63321-3_1","Chapter"
"Research in Progress: Holistic Climate Service Prototypes for Farmers in Tambuu, Tanzania","Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D","","","","10.1007/978-3-030-19115-3_24","Ville MyllynpääJaakko HelminenEzra MisakiMikko ApiolaJani HaakanaTomi WesterlundErkki Sutinen","2019","http://link.springer.com/chapter/10.1007/978-3-030-19115-3_24","Chapter"
"Engaging Learners in Dialogue Interactivity Development for Mobile Robots","Educational Robotics in the Context of the Maker Movement","","","","10.1007/978-3-030-18141-3_12","Paul BaxterFrancesco Del DuchettoMarc Hanheide","2020","http://link.springer.com/chapter/10.1007/978-3-030-18141-3_12","Chapter"
"Patient-Centered Design in a Connected Healthcare World: A Case Study","Research into Design for a Connected World","","","","10.1007/978-981-13-5974-3_83","Nibedit DeyPriyabrata RautrayMukesh Soni","2019","http://link.springer.com/chapter/10.1007/978-981-13-5974-3_83","Chapter"
"Towards a Collective Awareness Platform for Privacy Concerns and Expectations","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02610-3_8","Giorgos FlourisTheodore PatkosIoannis ChrysakisIoulia KonstantinouNikolay NikolovPanagiotis PapadakosJeremy PittDumitru RomanAlexandru StanChrysostomos Zeginis","2018","http://link.springer.com/chapter/10.1007/978-3-030-02610-3_8","Chapter"
"Models in the Cloud: Exploring Next Generation Environmental Software Systems","Environmental Software Systems. Data Science in Action","","","","10.1007/978-3-030-39815-6_21","Will SimmGordon BlairRichard BassettFaiza SamreenPaul Young","2020","http://link.springer.com/chapter/10.1007/978-3-030-39815-6_21","Chapter"
"Towards Supporting Multigenerational Co-creation and Social Activities: Extending Learning Analytics Platforms and Beyond","Distributed, Ambient and Pervasive Interactions: Technologies and Contexts","","","","10.1007/978-3-319-91131-1_6","Shin’ichi KonomiKohei HatanoMiyuki InabaMisato OiTsuyoshi OkamotoFumiya OkuboAtsushi ShimadaJingyun WangMasanori YamadaYuki Yamada","2018","http://link.springer.com/chapter/10.1007/978-3-319-91131-1_6","Chapter"
"Designing Automated Vehicles Around Human Values","Road Vehicle Automation 6","","","","10.1007/978-3-030-22933-7_5","J. Christian GerdesSarah M. ThorntonJason Millar","2019","http://link.springer.com/chapter/10.1007/978-3-030-22933-7_5","Chapter"
"Dealing with the Complexity of Stakeholder Interaction in Participatory Transport Planning","Advanced Concepts, Methodologies and Technologies for Transportation and Logistics","","","","10.1007/978-3-319-57105-8_3","Michela Le PiraGiuseppe InturriMatteo IgnaccoloAlessandro Pluchino","2018","http://link.springer.com/chapter/10.1007/978-3-319-57105-8_3","Chapter"
"Mobility Support for People with Dementia","Computers Helping People with Special Needs","","","","10.1007/978-3-319-41267-2_34","Reinhard KoutnyKlaus Miesenberger","2016","http://link.springer.com/chapter/10.1007/978-3-319-41267-2_34","Chapter"
"Integrated Framework for the Civil Construction Projects Management by Mean PMBOK, ISO 21500 and ITIL V3","Trends and Advances in Information Systems and Technologies","","","","10.1007/978-3-319-77703-0_97","Eduardo Isacás-OjedaMonserrate Intriago-PazmiñoHernán Ordoñez-CaleroElizabeth Salazar-JácomeWilson Sánchez-Ocaña","2018","http://link.springer.com/chapter/10.1007/978-3-319-77703-0_97","Chapter"
"Exploring Dynamic Natural-Resource-Based Capabilities for Sustainable Agri-food Chains","Sustainable Design and Manufacturing 2016","","","","10.1007/978-3-319-32098-4_39","Natalie McDougallBeverly WagnerJillian MacBryde","2016","http://link.springer.com/chapter/10.1007/978-3-319-32098-4_39","Chapter"
"A User-Centric Framework for Educational Chatbots Design and Development","HCI International 2020 - Late Breaking Papers: Multimodality and Intelligence","","","","10.1007/978-3-030-60117-1_3","Mohammed BahjaRawad HammadGibran Butt","2020","http://link.springer.com/chapter/10.1007/978-3-030-60117-1_3","Chapter"
