Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Design Science Research for a New Society: Society 5.0","Lecture Notes in Computer Science","","","","10.1007/978-3-031-32808-4","Aurona GerberRichard Baskerville","2023","http://link.springer.com/book/10.1007/978-3-031-32808-4","Book"
"Pervasive Computing Technologies for Healthcare","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-34586-9","Athanasios TsanasAndreas Triantafyllidis","2023","http://link.springer.com/book/10.1007/978-3-031-34586-9","Book"
"Human-Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35596-7","Masaaki KurosuAyako Hashizume","2023","http://link.springer.com/book/10.1007/978-3-031-35596-7","Book"
"HCI International 2023 Posters","Communications in Computer and Information Science","","","","10.1007/978-3-031-35989-7","Constantine StephanidisMargherita AntonaStavroula NtoaGavriel Salvendy","2023","http://link.springer.com/book/10.1007/978-3-031-35989-7","Book"
"Flexible Automation and Intelligent Manufacturing: Establishing Bridges for More Sustainable Manufacturing Systems","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-38165-2","Francisco J. G. SilvaLuís Pinto FerreiraJosé Carlos SáMaria Teresa PereiraCarla M. A. Pinto","2024","http://link.springer.com/book/10.1007/978-3-031-38165-2","Book"
"Proceedings of Eighth International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-3091-3","Xin-She YangR. Simon SherrattNilanjan DeyAmit Joshi","2023","http://link.springer.com/book/10.1007/978-981-99-3091-3","Book"
"16th WCEAM Proceedings","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-25448-2","Adolfo Crespo MárquezJuan Francisco Gómez FernándezVicente González-Prida DíazJoe Amadi-Echendu","2023","http://link.springer.com/book/10.1007/978-3-031-25448-2","Book"
"Smart Energy for Smart Transport","Lecture Notes in Intelligent Transportation and Infrastructure","","","","10.1007/978-3-031-23721-8","Eftihia G. NathanailNikolaos GavanasGiannis Adamos","2023","http://link.springer.com/book/10.1007/978-3-031-23721-8","Book"
"Design in the Era of Industry 4.0, Volume 3","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-99-0428-0","Amaresh ChakrabartiVishal Singh","2023","http://link.springer.com/book/10.1007/978-981-99-0428-0","Book"
"Advances in Visual Informatics","Lecture Notes in Computer Science","","","","10.1007/978-981-99-7339-2","Halimah Badioze ZamanPeter RobinsonAlan F. SmeatonRenato Lima De OliveiraBo Nørregaard JørgensenTimothy K. ShihRabiah Abdul KadirUmmul Hanan MohamadMohammad Nazir Ahmad","2024","http://link.springer.com/book/10.1007/978-981-99-7339-2","Book"
"Research Challenges in Information Science: Information Science and the Connected World","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-33080-3","Selmin NurcanAndreas L. OpdahlHaralambos MouratidisAggeliki Tsohou","2023","http://link.springer.com/book/10.1007/978-3-031-33080-3","Book"
"Human-Computer Interaction – INTERACT 2023","Lecture Notes in Computer Science","","","","10.1007/978-3-031-42293-5","José Abdelnour NoceraMarta Kristín LárusdóttirHelen PetrieAntonio PiccinnoMarco Winckler","2023","http://link.springer.com/book/10.1007/978-3-031-42293-5","Book"
"Human-Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35572-1","Masaaki KurosuAyako Hashizume","2023","http://link.springer.com/book/10.1007/978-3-031-35572-1","Book"
"Intelligent Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-16075-2","Kohei Arai","2023","http://link.springer.com/book/10.1007/978-3-031-16075-2","Book"
"HCI International 2023 Posters","Communications in Computer and Information Science","","","","10.1007/978-3-031-36004-6","Constantine StephanidisMargherita AntonaStavroula NtoaGavriel Salvendy","2023","http://link.springer.com/book/10.1007/978-3-031-36004-6","Book"
"Proceedings of Fourth International Conference on Computing, Communications, and Cyber-Security","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1479-1","Sudeep TanwarSlawomir T. WierzchonPradeep Kumar SinghMaria GanzhaGregory Epiphaniou","2023","http://link.springer.com/book/10.1007/978-981-99-1479-1","Book"
"ICT Analysis and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-5224-1","Simon FongNilanjan DeyAmit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-5224-1","Book"
"Proceedings of 5th International Conference on Civil Engineering and Architecture","Lecture Notes in Civil Engineering","","","","10.1007/978-981-99-4049-3","Thomas Kang","2024","http://link.springer.com/book/10.1007/978-981-99-4049-3","Book"
"Design in the Era of Industry 4.0, Volume 2","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-99-0264-4","Amaresh ChakrabartiVishal Singh","2023","http://link.springer.com/book/10.1007/978-981-99-0264-4","Book"
"Responsive and Sustainable Educational Futures","Lecture Notes in Computer Science","","","","10.1007/978-3-031-42682-7","Olga VibergIoana JivetPedro J. Muñoz-MerinoMaria PerifanouTina Papathoma","2023","http://link.springer.com/book/10.1007/978-3-031-42682-7","Book"
"Universal Access in Human-Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35681-0","Margherita AntonaConstantine Stephanidis","2023","http://link.springer.com/book/10.1007/978-3-031-35681-0","Book"
"Collaborative Networks in Digitalization and Society 5.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-42622-3","Luis M. Camarinha-MatosXavier BoucherAngel Ortiz","2023","http://link.springer.com/book/10.1007/978-3-031-42622-3","Book"
"Perspectives in Business Informatics Research","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-43126-5","Knut HinkelmannFrancisco J. López-PellicerAndrea Polini","2023","http://link.springer.com/book/10.1007/978-3-031-43126-5","Book"
"Artificial Intelligence Application in Networks and Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-35314-7","Radek SilhavyPetr Silhavy","2023","http://link.springer.com/book/10.1007/978-3-031-35314-7","Book"
"ArtsIT, Interactivity and Game Creation","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-28993-4","Anthony L. Brooks","2023","http://link.springer.com/book/10.1007/978-3-031-28993-4","Book"
"Learning and Collaboration Technologies","Lecture Notes in Computer Science","","","","10.1007/978-3-031-34411-4","Panayiotis ZaphirisAndri Ioannou","2023","http://link.springer.com/book/10.1007/978-3-031-34411-4","Book"
"Complexity and Sustainability in Megaprojects","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-30879-6","Edoardo FavariFranca Cantoni","2023","http://link.springer.com/book/10.1007/978-3-031-30879-6","Book"
"Proceedings of the 11th International Conference on Production Research – Americas","","","","","10.1007/978-3-031-36121-0","Fernando DeschampsEdson Pinheiro de LimaSérgio E. Gouvêa da CostaMarcelo G. Trentin","2023","http://link.springer.com/book/10.1007/978-3-031-36121-0","Book"
