Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Chronic Illness Care","","","","","10.1007/978-3-031-29171-5","Timothy P. DaalemanMargaret R. Helton","2023","http://link.springer.com/book/10.1007/978-3-031-29171-5","Book"
"Proceedings of the 5th International Conference on Sustainable Civil Engineering Structures and Construction Materials","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-7924-7","Sheila BelayuthamChe Khairil Izam Che IbrahimAnizahyati AlisibramulisiHazrina MansorMuntasir Billah","2022","http://link.springer.com/book/10.1007/978-981-16-7924-7","Book"
"Sustainable Manufacturing in Industry 4.0","","","","","10.1007/978-981-19-7218-8","Hamed GholamiGeorges Abdul-NourSafian SharifDalia Streimikiene","2023","http://link.springer.com/book/10.1007/978-981-19-7218-8","Book"
"Higher Education Learning Methodologies and Technologies Online","Communications in Computer and Information Science","","","","10.1007/978-3-031-29800-4","Giovanni FulantelliDaniel BurgosGabriella CasalinoMarta CimitileGiosuè Lo BoscoDavide Taibi","2023","http://link.springer.com/book/10.1007/978-3-031-29800-4","Book"
"Designing IoT Solutions for Elderly Home Care: A Systematic Study of Participatory Design, Personas and Semiotics","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_18","Renata de Podestá GasparRodrigo BonacinVinícius P. Gonçalves","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_18","Chapter"
"Fairness as adequacy: a sociotechnical view on model evaluation in machine learning","AI and Ethics","","","","10.1007/s43681-023-00280-x","Thomas Grote","2023","http://link.springer.com/article/10.1007/s43681-023-00280-x","Article"
"Research on Project, Programme and Portfolio Management","Lecture Notes in Management and Industrial Engineering","","","","10.1007/978-3-030-86248-0","Prof. Ronggui DingReinhard WagnerProf. Constanta-Nicoleta Bodea","2022","http://link.springer.com/book/10.1007/978-3-030-86248-0","Book"
"Recent Advances in Materials and Manufacturing Technology","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-99-2921-4","Ramesh Kumar NayakMohan Kumar PradhanAnimesh MandalJ. Paulo Davim","2023","http://link.springer.com/book/10.1007/978-981-99-2921-4","Book"
"Digital Innovations, Business and Society in Africa","Advances in Theory and Practice of Emerging Markets","","","","10.1007/978-3-030-77987-0","Richard BoatengSheena Lovia BoatengThomas Anning-DorsonLonge Olumide Babatope","2022","http://link.springer.com/book/10.1007/978-3-030-77987-0","Book"
"Image Analysis and Processing. ICIAP 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-13321-3","Pier Luigi MazzeoEmanuele FrontoniProf. Stan SclaroffCosimo Distante","2022","http://link.springer.com/book/10.1007/978-3-031-13321-3","Book"
"Recent Advances in Data and Algorithms for e-Government","Artificial Intelligence-Enhanced Software and Systems Engineering","","","","10.1007/978-3-031-22408-9","Christophe GaieMayuri Mehta","2023","http://link.springer.com/book/10.1007/978-3-031-22408-9","Book"
"Sustainability in Energy and Buildings 2021","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-6269-0","John R. LittlewoodRobert J. HowlettLakhmi C. Jain","2022","http://link.springer.com/book/10.1007/978-981-16-6269-0","Book"
"HCI in Business, Government and Organizations","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35969-9","Fiona NahKeng Siau","2023","http://link.springer.com/book/10.1007/978-3-031-35969-9","Book"
"Advancements and challenges in the application of artificial intelligence in civil engineering: a comprehensive review","Asian Journal of Civil Engineering","","","","10.1007/s42107-023-00760-9","Shrikant M. Harle","2023","http://link.springer.com/article/10.1007/s42107-023-00760-9","Article"
"International Encyclopedia of Statistical Science","","","","","10.1007/978-3-642-04898-2","Miodrag Lovric","2011","http://link.springer.com/referencework/10.1007/978-3-642-04898-2","ReferenceWork"
"From Industry 4.0 to Industry 5.0","Studies in Systems, Decision and Control","","","","10.1007/978-3-031-28314-7","Allam HamdanArezou HarrafAmina BuallayPallvi AroraHala Alsabatin","2023","http://link.springer.com/book/10.1007/978-3-031-28314-7","Book"
"Social Computing and Social Media. Participation, User Experience, Consumer Experience,  and Applications of Social Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49576-3","Dr. Gabriele Meiselwitz","2020","http://link.springer.com/book/10.1007/978-3-030-49576-3","Book"
"Smart, Sustainable Manufacturing in an Ever-Changing World","Lecture Notes in Production Engineering","","","","10.1007/978-3-031-15602-1","Konrad von LeipzigNatasha SacksMichelle Mc Clelland","2023","http://link.springer.com/book/10.1007/978-3-031-15602-1","Book"
"What People Leave Behind","Frontiers in Sociology and Social Research","","","","10.1007/978-3-031-11756-5","Francesca ComunelloFabrizio MartireLorenzo Sabetta","2022","http://link.springer.com/book/10.1007/978-3-031-11756-5","Book"
"Human-Computer Interaction. Technological Innovation","Lecture Notes in Computer Science","","","","10.1007/978-3-031-05409-9","Masaaki Kurosu","2022","http://link.springer.com/book/10.1007/978-3-031-05409-9","Book"
"EcoMechatronics","","","","","10.1007/978-3-031-07555-1","Peter HehenbergerMaki HabibDavid Bradley","2022","http://link.springer.com/book/10.1007/978-3-031-07555-1","Book"
"Artificial Intelligence Project Success Factors—Beyond the Ethical Principles","Information Technology for Management: Business and Social Issues","","","","10.1007/978-3-030-98997-2_4","Gloria J. Miller","2022","http://link.springer.com/chapter/10.1007/978-3-030-98997-2_4","Chapter"
"Proceedings of the International Conference on Internet of Things, Communication and Intelligent Technology","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-0416-7","Jian DongLong Zhang","2023","http://link.springer.com/book/10.1007/978-981-99-0416-7","Book"
"Proceedings of the 2nd International Conference on Cognitive Based Information Processing and Applications (CIPA 2022)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-19-9373-2","Bernard J. JansenQingyuan ZhouJun Ye","2023","http://link.springer.com/book/10.1007/978-981-19-9373-2","Book"
"Information Systems and Neuroscience","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-031-13064-9","Fred D. DavisRené RiedlJan vom BrockePierre-Majorique LégerAdriane B. RandolphGernot R. Müller-Putz","2022","http://link.springer.com/book/10.1007/978-3-031-13064-9","Book"
"The Envisionment and Discovery Collaboratory (EDC)","Synthesis Lectures on Human-Centered Informatics","","","","10.1007/978-3-031-79494-0","Ernesto G. AriasHal EdenGerhard Fischer","2016","http://link.springer.com/book/10.1007/978-3-031-79494-0","Book"
"Assessing the ethical and social concerns of artificial intelligence in neuroinformatics research: an empirical test of the European Union Assessment List for Trustworthy AI (ALTAI)","AI and Ethics","","3","3","10.1007/s43681-022-00201-4","Bernd Carsten StahlTonii Leach","2023","http://link.springer.com/article/10.1007/s43681-022-00201-4","Article"
"HCI in Mobility, Transport, and Automotive Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78358-7","Heidi Krömker","2021","http://link.springer.com/book/10.1007/978-3-030-78358-7","Book"
"Machine learning in landscape ecological analysis: a review of recent approaches","Landscape Ecology","","37","5","10.1007/s10980-021-01366-9","Mihai-Sorin StupariuSamuel A. CushmanAlin-Ionuţ PleşoianuIleana Pătru-StupariuChristine Fürst","2022","http://link.springer.com/article/10.1007/s10980-021-01366-9","Article"
"Application of Intelligent Systems in Multi-modal Information Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-05484-6","Vijayan SugumaranA. G. SreedeviZheng Xu","2022","http://link.springer.com/book/10.1007/978-3-031-05484-6","Book"
"Proceeding of 2022 International Conference on Wireless Communications, Networking and Applications (WCNA 2022)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-3951-0","Zhihong QianM.A. JabbarSimon K. S. CheungXiaolong Li","2023","http://link.springer.com/book/10.1007/978-981-99-3951-0","Book"
"Media and Change Management","","","","","10.1007/978-3-030-86680-8","Matthias KarmasinSandra DiehlIsabell Koinig","2022","http://link.springer.com/book/10.1007/978-3-030-86680-8","Book"
"Innovations in Cyber Physical Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4149-7","Prof. Jawar SinghDr. Sudhir KumarDr. Umakanta Choudhury","2021","http://link.springer.com/book/10.1007/978-981-16-4149-7","Book"
"Training and Skilling Within Knowledge Worker Services","Crafting and Shaping Knowledge Worker Services in the Information Economy","","","","10.1007/978-981-15-1224-7_8","Keith SherringhamBhuvan Unhelkar","2020","http://link.springer.com/chapter/10.1007/978-981-15-1224-7_8","Chapter"
"The Economics of Digital Transformation","Studies on Entrepreneurship, Structural Change and Industrial Dynamics","","","","10.1007/978-3-030-59959-1","Tessaleno DevezasJoão LeitãoAskar Sarygulov","2021","http://link.springer.com/book/10.1007/978-3-030-59959-1","Book"
"Corporate Governance in the Knowledge Economy","Palgrave Studies in Accounting and Finance Practice","","","","10.1007/978-3-030-78873-5","Dr. Paul David Richard Griffiths","2021","http://link.springer.com/book/10.1007/978-3-030-78873-5","Book"
"Technology Assessment in a Globalized World","","","","","10.1007/978-3-031-10617-0","Leonhard HennenJulia HahnMiltos LadikasRalf LindnerWalter PeisslRinie van Est","2023","http://link.springer.com/book/10.1007/978-3-031-10617-0","Book"
"Application of Big Data, Blockchain, and Internet of Things for Education Informatization","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-23950-2","Mian Ahmad JanFazlullah Khan","2023","http://link.springer.com/book/10.1007/978-3-031-23950-2","Book"
"Quantifying Quality of Life","Health Informatics","","","","10.1007/978-3-030-94212-0","Katarzyna WacSharon Wulfovich","2022","http://link.springer.com/book/10.1007/978-3-030-94212-0","Book"
"Ethical assurance: a practical approach to the responsible design, development, and deployment of data-driven technologies","AI and Ethics","","3","1","10.1007/s43681-022-00178-0","Christopher BurrDavid Leslie","2023","http://link.springer.com/article/10.1007/s43681-022-00178-0","Article"
"AI Ecosystems for Human Flourishing: The Recommendations","Artificial Intelligence for a Better Future","","","","10.1007/978-3-030-69978-9_7","Bernd Carsten Stahl","2021","http://link.springer.com/chapter/10.1007/978-3-030-69978-9_7","Chapter"
"The Future of Responsible Management Education","Humanism in Business Series","","","","10.1007/978-3-031-15632-8","Christian HauserWolfgang Amann","2023","http://link.springer.com/book/10.1007/978-3-031-15632-8","Book"
"Advances in Visual Informatics","Lecture Notes in Computer Science","","","","10.1007/978-3-030-34032-2","Halimah Badioze ZamanAlan F. SmeatonTimothy K. ShihSergio VelastinTada TerutoshiNazlena Mohamad AliMohammad Nazir Ahmad","2019","http://link.springer.com/book/10.1007/978-3-030-34032-2","Book"
"Sonic Interactions in Virtual Environments","Human–Computer Interaction Series","","","","10.1007/978-3-031-04021-4","Michele GeronazzoStefania Serafin","2023","http://link.springer.com/book/10.1007/978-3-031-04021-4","Book"
"Serving the Customer","","","","","10.1007/978-3-658-39072-3","Thomas Aichner","2023","http://link.springer.com/book/10.1007/978-3-658-39072-3","Book"
"Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management. AI, Product and Service","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77820-0","Dr. Vincent G. Duffy","2021","http://link.springer.com/book/10.1007/978-3-030-77820-0","Book"
"CIRP Encyclopedia of Production Engineering","","","","","10.1007/978-3-642-20617-7","Luc LaperrièreGunther Reinhart","2014","http://link.springer.com/referencework/10.1007/978-3-642-20617-7","ReferenceWork"
"Modern Facility and Workplace Management","Classroom Companion: Business","","","","10.1007/978-3-030-35314-8","Alexander Redlein","2020","http://link.springer.com/book/10.1007/978-3-030-35314-8","Book"
"Green Technological Innovation for Sustainable Smart Societies","","","","","10.1007/978-3-030-73295-0","Chinmay Chakraborty","2021","http://link.springer.com/book/10.1007/978-3-030-73295-0","Book"
"Innovative Computing Vol 2 - Emerging Topics in Future Internet","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-2287-1","Jason C. HungJia-Wei ChangYan Pei","2023","http://link.springer.com/book/10.1007/978-981-99-2287-1","Book"
"Advances in Econometrics, Operational Research, Data Science and Actuarial Studies","Contributions to Economics","","","","10.1007/978-3-030-85254-2","Prof. M. Kenan Terzioğlu","2022","http://link.springer.com/book/10.1007/978-3-030-85254-2","Book"
"Smart Cities, Green Technologies, and Intelligent Transport Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-17098-0","Cornel KleinMatthias JarkeMarkus HelfertKarsten BernsOleg Gusikhin","2022","http://link.springer.com/book/10.1007/978-3-031-17098-0","Book"
"FinTech in Islamic Financial Institutions","","","","","10.1007/978-3-031-14941-2","M. Kabir HassanMustafa Raza RabbaniMamunur Rashid","2022","http://link.springer.com/book/10.1007/978-3-031-14941-2","Book"
"Human Aspects of IT for the Aged Population. Supporting Everyday Life Activities","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78111-8","Qin GaoDr. Jia Zhou","2021","http://link.springer.com/book/10.1007/978-3-030-78111-8","Book"
"Connected and Automated Vehicles: Integrating Engineering and Ethics","Studies in Applied Philosophy, Epistemology and Rational Ethics","","","","10.1007/978-3-031-39991-6","Fabio FossaFederico Cheli","2023","http://link.springer.com/book/10.1007/978-3-031-39991-6","Book"
"HCI Themes for the Future: Collaborative Design, Social Creativity, and Meta-design","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_92","Gerhard Fischer","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_92","Chapter"
"Social and Emotional Learning and Complex Skills Assessment","Advances in Analytics for Learning and Teaching","","","","10.1007/978-3-031-06333-6","Yuan 'Elle' WangSrećko JoksimovićMaria Ofelia Z. San PedroJason D. WayJohn Whitmer","2022","http://link.springer.com/book/10.1007/978-3-031-06333-6","Book"
"The Palgrave Handbook of the Anthropology of Technology","","","","","10.1007/978-981-16-7084-8","Maja Hojer BruunAyo WahlbergRachel Douglas-JonesCathrine HasseKlaus HoeyerDorthe Brogård KristensenBrit Ross Winthereik","2022","http://link.springer.com/book/10.1007/978-981-16-7084-8","Book"
"Abstracts from the 2020 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","35","1","10.1007/s11606-020-05890-3","","2020","http://link.springer.com/article/10.1007/s11606-020-05890-3","Article"
"Imitation Market Modeling in Digital Economy: Game Theoretic Approaches","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-93244-2","Prof. Elena G. Popkova","2022","http://link.springer.com/book/10.1007/978-3-030-93244-2","Book"
"Cyber Security","Computational Methods in Applied Sciences","","","","10.1007/978-3-030-91293-2","Prof. Dr. Martti LehtoProf. Dr. Pekka Neittaanmäki","2022","http://link.springer.com/book/10.1007/978-3-030-91293-2","Book"
"Proceedings of the Fifteenth International Conference on Management Science and Engineering Management","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-79203-9","Prof. Jiuping XuDr. Fausto Pedro García MárquezProf. Mohamed Hag Ali HassanProf. Gheorghe DucaProf. Asaf HajiyevProf. Fulya Altiparmak","2021","http://link.springer.com/book/10.1007/978-3-030-79203-9","Book"
"Agile Marketing Strategies","","","","","10.1007/978-3-031-04212-6","Dr. Rajagopal","2022","http://link.springer.com/book/10.1007/978-3-031-04212-6","Book"
"Smart Circular Cities and Stakeholders Engagement: A Literature Review to Explore the Role of Artificial Intelligence","Computational Science and Its Applications – ICCSA 2023 Workshops","","","","10.1007/978-3-031-37117-2_18","Sabrina SaccoFerdinando Di MartinoMaria Cerreta","2023","http://link.springer.com/chapter/10.1007/978-3-031-37117-2_18","Chapter"
"Decision Analytics for Sustainable Development in Smart Society 5.0","Asset Analytics","","","","10.1007/978-981-19-1689-2","Dr. Vikram BaliDr. Vishal BhatnagarDr. Joan LuDr. Kakoli Banerjee","2022","http://link.springer.com/book/10.1007/978-981-19-1689-2","Book"
"Precision Medicine in Cardiovascular Disease Prevention","","","","","10.1007/978-3-030-75055-8","Prof. Seth S. Martin","2021","http://link.springer.com/book/10.1007/978-3-030-75055-8","Book"
"Experimental IR Meets Multilinguality, Multimodality, and Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85251-1","Prof. K. Selçuk CandanDr. Bogdan IonescuAssist. Prof. Lorraine GoeuriotProf. Dr. Birger LarsenHenning MüllerAlexis JolyMaria MaistroFlorina PiroiGuglielmo FaggioliNicola Ferro","2021","http://link.springer.com/book/10.1007/978-3-030-85251-1","Book"
"Sustainable, Innovative and Intelligent Societies and Cities","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-031-30514-6","Carlos Filipe da Silva Portela","2023","http://link.springer.com/book/10.1007/978-3-031-30514-6","Book"
"Sustainable Business Management and Digital Transformation: Challenges and Opportunities in the Post-COVID Era","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-18645-5","Marko MihićSandra JednakGordana Savić","2023","http://link.springer.com/book/10.1007/978-3-031-18645-5","Book"
"Introduction to Intelligent Construction Technology of Transportation Infrastructure","Springer Tracts in Civil Engineering","","","","10.1007/978-3-031-13433-3","Guanghui XuDongsheng Wang","2023","http://link.springer.com/book/10.1007/978-3-031-13433-3","Book"
"Business Process Management Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-94343-1","Andrea MarrellaProf. Barbara Weber","2022","http://link.springer.com/book/10.1007/978-3-030-94343-1","Book"
"New Perspectives in Critical Data Studies","Transforming Communications – Studies in Cross-Media Research","","","","10.1007/978-3-030-96180-0","Andreas HeppJuliane JarkeLeif Kramp","2022","http://link.springer.com/book/10.1007/978-3-030-96180-0","Book"
"Abstracts","Hepatology International","","17","1","10.1007/s12072-023-10501-4","","2023","http://link.springer.com/article/10.1007/s12072-023-10501-4","Article"
"Online Harassment","Human–Computer Interaction Series","","","","10.1007/978-3-319-78583-7","Prof. Jennifer Golbeck","2018","http://link.springer.com/book/10.1007/978-3-319-78583-7","Book"
"Technology, Innovation and Creativity in Digital Society","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89708-6","Daria BylievaProf. Dr. Alfred Nordmann","2022","http://link.springer.com/book/10.1007/978-3-030-89708-6","Book"
"Next Generation Roadmapping","Science, Technology and Innovation Studies","","","","10.1007/978-3-031-38575-9","Tugrul U. DaimRobert PhaalDirk MeissnerClive Kerr","2023","http://link.springer.com/book/10.1007/978-3-031-38575-9","Book"
"Ergonomics for Design and Innovation","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94277-9","Dr. Debkumar ChakrabartiDr. Sougata KarmakarUrmi R. Salve","2022","http://link.springer.com/book/10.1007/978-3-030-94277-9","Book"
"Universal Access in Human-Computer Interaction. Access to Media, Learning and Assistive Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78095-1","Dr. Margherita AntonaProf. Constantine Stephanidis","2021","http://link.springer.com/book/10.1007/978-3-030-78095-1","Book"
"Creativity in Intelligent Technologies and Data Science","Communications in Computer and Information Science","","","","10.1007/978-3-031-44615-3","Alla G. KravetsMaxim V. ShcherbakovPeter P. Groumpos","2023","http://link.springer.com/book/10.1007/978-3-031-44615-3","Book"
"Communication Design and Branding","Springer Series in Design and Innovation","","","","10.1007/978-3-031-35385-7","Nuno MartinsDaniel Raposo","2023","http://link.springer.com/book/10.1007/978-3-031-35385-7","Book"
"Ethical funding for trustworthy AI: proposals to address the responsibilities of funders to ensure that projects adhere to trustworthy AI practice","AI and Ethics","","2","2","10.1007/s43681-021-00069-w","Allison GardnerAdam Leon SmithAdam SteventonEllen CoughlanMarie Oldfield","2022","http://link.springer.com/article/10.1007/s43681-021-00069-w","Article"
"Emerging Technologies and the Digital Transformation of Museums and Heritage Sites","Communications in Computer and Information Science","","","","10.1007/978-3-030-83647-4","Dr. Maria ShehadeTheopisti Stylianou-Lambert","2021","http://link.springer.com/book/10.1007/978-3-030-83647-4","Book"
"Evolving Business Ethics","Wirtschaftsethik in der globalisierten Welt","","","","10.1007/978-3-476-05845-4","Prof. Dr. Christoph LütgeDr. Marianne Thejls Ziegler","2022","http://link.springer.com/book/10.1007/978-3-476-05845-4","Book"
"Measuring Ontologies for Value Enhancement: Aligning Computing Productivity with Human Creativity for Societal Adaptation","Communications in Computer and Information Science","","","","10.1007/978-3-031-22228-3","Rubina PolovinaSimon PolovinaNeil Kemp","2022","http://link.springer.com/book/10.1007/978-3-031-22228-3","Book"
