Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ECR 2021 Book of Abstracts","Insights into Imaging","","12","2","10.1186/s13244-021-01014-5","","2021","http://link.springer.com/article/10.1186/s13244-021-01014-5","Article"
"Machine learning in landscape ecological analysis: a review of recent approaches","Landscape Ecology","","37","5","10.1007/s10980-021-01366-9","Mihai-Sorin StupariuSamuel A. CushmanAlin-Ionuţ PleşoianuIleana Pătru-StupariuChristine Fürst","2022","http://link.springer.com/article/10.1007/s10980-021-01366-9","Article"
"Ethical funding for trustworthy AI: proposals to address the responsibilities of funders to ensure that projects adhere to trustworthy AI practice","AI and Ethics","","2","2","10.1007/s43681-021-00069-w","Allison GardnerAdam Leon SmithAdam SteventonEllen CoughlanMarie Oldfield","2022","http://link.springer.com/article/10.1007/s43681-021-00069-w","Article"
"CSR marketing through social media and contextual effects on stakeholder engagement: a multinational cross-industry analysis","Information Systems Frontiers","","","","10.1007/s10796-022-10273-6","Arash Khalili NasrMona RashidiradVignesh YoganathanAshkan Salehi Sadaghiani","2022","http://link.springer.com/article/10.1007/s10796-022-10273-6","Article"
"Towards an Equitable Digital Society: Artificial Intelligence (AI) and Corporate Digital Responsibility (CDR)","Society","","58","3","10.1007/s12115-021-00594-8","Karen ElliottRob PricePatricia ShawTasos SpiliotopoulosMagdalene NgKovila CoopamootooAad van Moorsel","2021","http://link.springer.com/article/10.1007/s12115-021-00594-8","Article"
"Convergence of Public Participation, Participatory Design and NLP to Co-Develop Circular Economy","Circular Economy and Sustainability","","1","3","10.1007/s43615-021-00079-0","Mark DyerShaoqun WuMin-Hsien Weng","2021","http://link.springer.com/article/10.1007/s43615-021-00079-0","Article"
"A mental models approach for defining explainable artificial intelligence","BMC Medical Informatics and Decision Making","","21","1","10.1186/s12911-021-01703-7","Michael MerryPat RiddleJim Warren","2021","http://link.springer.com/article/10.1186/s12911-021-01703-7","Article"
"ESICM LIVES 2022: part 1","Intensive Care Medicine Experimental","","10","2","10.1186/s40635-022-00468-1","","2022","http://link.springer.com/article/10.1186/s40635-022-00468-1","Article"
"Abstracts of the 52nd Annual Conference of the Italian Society of Neurology","Neurological Sciences","","43","1","10.1007/s10072-022-06531-9","","2022","http://link.springer.com/article/10.1007/s10072-022-06531-9","Article"
"Abstracts of the 18th Congress of the European Geriatric Medicine Society","European Geriatric Medicine","","13","1","10.1007/s41999-022-00711-8","","2022","http://link.springer.com/article/10.1007/s41999-022-00711-8","Article"
