Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Contributions of artificial intelligence for circular economy transition leading toward sustainability: an explorative study in agriculture and food industries of Pakistan","Environment, Development and Sustainability","","","","10.1007/s10668-023-03458-9","Zain Anwar AliMahreen ZainM. Salman PathanPeter Mooney","2023","http://link.springer.com/article/10.1007/s10668-023-03458-9","Article"
"Abstracts from the 2023 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","38","2","10.1007/s11606-023-08226-z","","2023","http://link.springer.com/article/10.1007/s11606-023-08226-z","Article"
"Role of Regulatory Sandboxes and MLOps for AI-Enabled Public Sector Services","The Review of Socionetwork Strategies","","17","2","10.1007/s12626-023-00146-y","Ana Paula Gonzalez TorresNitin Sawhney","2023","http://link.springer.com/article/10.1007/s12626-023-00146-y","Article"
"A systematic review of teaching and learning machine learning in K-12 education","Education and Information Technologies","","28","5","10.1007/s10639-022-11416-7","Ismaila Temitayo SanusiSolomon Sunday OyelereHenriikka VartiainenJarkko SuhonenMarkku Tukiainen","2023","http://link.springer.com/article/10.1007/s10639-022-11416-7","Article"
"Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers","AI and Ethics","","3","1","10.1007/s43681-022-00195-z","Pravik SolankiJohn GrundyWaqar Hussain","2023","http://link.springer.com/article/10.1007/s43681-022-00195-z","Article"
"The Brazilian (Non)perspective on national strategy for artificial intelligence","Discover Artificial Intelligence","","3","1","10.1007/s44163-023-00052-w","Fernando FilgueirasTainá Aguiar Junquilho","2023","http://link.springer.com/article/10.1007/s44163-023-00052-w","Article"
"Fairness as adequacy: a sociotechnical view on model evaluation in machine learning","AI and Ethics","","","","10.1007/s43681-023-00280-x","Thomas Grote","2023","http://link.springer.com/article/10.1007/s43681-023-00280-x","Article"
"Advancements and challenges in the application of artificial intelligence in civil engineering: a comprehensive review","Asian Journal of Civil Engineering","","","","10.1007/s42107-023-00760-9","Shrikant M. Harle","2023","http://link.springer.com/article/10.1007/s42107-023-00760-9","Article"
"Assessing the ethical and social concerns of artificial intelligence in neuroinformatics research: an empirical test of the European Union Assessment List for Trustworthy AI (ALTAI)","AI and Ethics","","3","3","10.1007/s43681-022-00201-4","Bernd Carsten StahlTonii Leach","2023","http://link.springer.com/article/10.1007/s43681-022-00201-4","Article"
"Ethical assurance: a practical approach to the responsible design, development, and deployment of data-driven technologies","AI and Ethics","","3","1","10.1007/s43681-022-00178-0","Christopher BurrDavid Leslie","2023","http://link.springer.com/article/10.1007/s43681-022-00178-0","Article"
